month,company,unique_job_postings_found
2026-06,Montgomery County Public Schools,50
2026-06,Coca Cola,26
2026-06,Montgomery County Government,20
2026-06,Fresh Baguette,18
2026-06,Leidos,17
2026-06,Aldi,16
2026-06,Three Hyphens,13
2026-06,Care.com,13
2026-06,Adventist HealthCare,13
2026-06,Trinity Health,12
2026-06,Giant Food,12
2026-06,Clerk Crew,12
2026-06,Allied Universal,12
2026-06,Walmart,11
2026-06,MedStar Health,11
2026-06,"Marriott International, Inc",10
2026-06,Johns Hopkins Medicine,10
2026-06,Wegmans,9
2026-06,Robert Half,9
2026-06,Five Below,8
2026-06,Sunrise Senior Living,7
2026-06,SAS Retail Services,7
2026-06,OpinionAura,7
2026-06,Food Lion,7
2026-06,Confidential,7
2026-06,CVS Health,7
2026-06,Wendy's,6
2026-06,Veritext Legal Solutions,6
2026-06,PepsiCo,6
2026-06,Michaels Stores,6
